BL,SHIP_DATE,STATUS
249022,2023-09-13,ETA
249049,2023-08-22,BL Received
249170,2023-08-17,Staged
249171,2023-08-24,ETA
249026,2023-09-29,ETA
249027,2023-08-25,BL Received
249053,2023-08-16,Staged
249055,2023-08-04,BL Sent
249088,2023-08-15,Awaiting Payment
249175,2023-09-14,BL Sent
249177,2023-09-01,ETA
249180,2023-09-28,ETA
249058,2023-08-07,ETA
249060,2023-09-08,ETA
249092,2023-08-09,Partial ETA
249247,2023-08-04,TBA
249249,2023-08-04,TBA
249250,2023-08-04,TBA
248991,2023-08-17,Staged
248992,2023-09-05,ETA
249093,2023-08-16,Staged
249096,2023-08-21,Partial ETA - RR
249186,2023-08-11,Awaiting Information
249187,2023-09-08,BL Sent
249188,2023-10-10,BL Sent
249209,2023-08-24,ETA
249251,2023-10-03,ETA
249252,2023-10-11,ETA
249253,2023-08-21,ETA
249098,2023-08-28,ETA
249103,2023-09-06,ETA
249193,2023-08-25,BL Sent
249194,2023-09-04,ETA
249261,2023-08-17,Staged
249275,2023-08-24,BL Received
249278,2023-08-23,ETA
249001,2023-08-04,ETA
249003,2023-08-31,Partial ETA
249004,2023-09-22,Awaiting Payment
249264,2023-08-04,Margin
249005,2023-08-23,BL Sent
249110,2023-09-20,ETA
249112,2023-09-01,Partial ETA
249202,2023-08-24,BL Received
249203,2023-08-24,BL Received
249204,2023-08-04,BL Sent
249286,2023-09-05,BL Received
248925,2023-08-04,BL Received
249115,2023-09-13,BL Sent
249231,2023-08-10,Delayed
249287,2023-10-05,BL Received
249288,2023-11-07,BL Received
249335,2023-09-15,In Stock
249336,2023-08-31,BL Received
249340,2023-08-21,BL Sent
248761,2023-09-04,ETA
249120,2023-08-18,Staged
249293,2023-08-10,BL Received
249384,2023-08-21,Shelf Life
249385,2023-09-04,ETA
249413,2023-08-09,Shipped
248765,2023-09-12,ETA
249121,2023-08-28,BL Sent
249122,2023-09-05,In Stock
249123,2023-08-11,Delayed
249124,2023-08-23,BL Received
249295,2023-08-21,Delayed
249296,2023-08-29,ETA
249297,2023-08-10,BL Received
249388,2023-10-06,Partial ETA
249389,2023-10-17,In Stock
249415,2023-08-25,ETA
249417,2023-08-25,ETA
249126,2023-08-21,Shelf Life
249127,2023-08-28,Shelf Life
249299,2023-09-08,In Stock
249351,2023-08-04,ETA
249418,2023-08-16,Staged
249419,2023-10-31,In Stock
249420,2023-12-01,In Stock
249450,2023-08-07,Margin
249451,2023-08-08,BL Received
249306,2023-09-07,Partial ETA - SC
249356,2023-08-28,BL Received
249423,2023-09-04,ETA
249457,2023-08-31,BL Received
249471,2023-08-02,ETA
249133,2023-09-04,ETA
249134,2023-09-22,ETA
249307,2023-09-18,ETA
249309,2023-08-25,BL Sent
249310,2023-08-25,ETA
249359,2023-08-31,ETA
249360,2023-10-05,ETA
249398,2023-08-29,Partial ETA
249399,2023-09-01,BL Sent
249400,2023-08-23,BL Sent
249426,2023-08-22,BL Sent
249478,2023-08-21,BL Sent
249519,2023-10-12,ETA
249520,2023-09-20,ETA
249521,2023-10-13,ETA
249522,2023-11-03,ETA
249138,2023-11-16,ETA
249140,2023-08-21,BL Sent
249312,2023-09-19,BL Sent
249364,2023-08-14,BL Sent
249365,2023-09-19,In Stock
249366,2023-09-05,ETA
249402,2023-08-24,ETA
249403,2023-08-08,ETA
249431,2023-09-19,ETA
249482,2023-08-15,ETA
249523,2024-01-02,ETA
249524,2023-10-17,ETA
249525,2023-10-25,ETA
249143,2023-12-18,ETA
249434,2023-09-11,In Stock
249435,2023-08-15,BL Received
249467,2023-10-10,In Stock
249484,2023-10-02,ETA
249527,2023-08-18,BL Sent
249528,2023-09-08,BL Sent
249529,2023-10-24,ETA
249530,2023-11-27,ETA
249148,2023-08-04,ETA
249319,2023-08-23,Partial ETA - SC
249322,2023-08-17,Staged
249438,2023-08-02,TBA
249439,2023-10-02,ETA
249531,2024-01-02,ETA
249532,2023-08-25,ETA
249533,2023-10-19,ETA
249569,2023-09-25,Awaiting Payment
249570,2023-09-08,BL Sent
249572,2023-08-16,Staged
249152,2023-09-15,Partial ETA
249327,2023-08-15,ETA/Awaiting Payment
249328,2023-08-18,Staged
249370,2023-08-01,BL Sent
249371,2023-08-04,ETA
249492,2023-08-23,ETA
249578,2023-10-10,ETA
249331,2023-09-07,In Stock
249332,2023-10-04,In Stock
249333,2023-08-17,BL Sent
249334,2023-08-25,BL Received
249497,2023-08-23,BL Sent
249498,2023-09-07,BL Sent
249579,2023-12-19,ETA
249600,2023-08-04,BL Received
249624,2023-08-11,Invoicing
249625,2023-08-16,BL Received
249163,2023-10-17,BL Received
249378,2023-08-11,Invoicing
249379,2023-08-10,Margin
249501,2023-09-01,In Stock
249543,2023-09-26,ETA
249583,2023-08-07,BL Sent
249606,2023-08-18,Staged
249627,2023-08-03,ETA
249628,2023-08-23,Staged
249629,2023-08-11,ETA
249503,2023-09-01,ETA
249504,2023-08-31,ETA
249505,2023-09-26,ETA
249548,2023-08-04,TBA
249549,2023-08-04,TBA
249636,2023-10-03,TBA
249637,2023-08-15,ETA
249638,2024-01-05,ETA
249693,2023-08-15,ETA
249732,2023-08-31,ETA
249733,2023-08-29,BL Received
249761,2023-09-26,In Stock
249554,2023-08-31,Awaiting Information
249591,2023-08-08,Shipped
249594,2023-08-02,BL Sent
249611,2023-08-08,Margin
249612,2023-09-01,ETA
249640,2023-08-21,ETA
